,Home Team,Home Goals,Away Goals,Away Team,Date,xGD,GD,Upset Rating
530,Tampa Bay Lightning,2,3,Edmonton Oilers,2022-11-08,0.24,-1,1.24
531,Boston Bruins,3,1,Dallas Stars,2022-10-25,0.77,2,1.23
532,Nashville Predators,5,4,New York Islanders,2022-11-17,-0.22,1,1.22
533,New York Rangers,2,1,Dallas Stars,2023-01-12,-0.22,1,1.22
534,Nashville Predators,2,1,Calgary Flames,2023-01-16,-0.21,1,1.21
535,Winnipeg Jets,4,3,Carolina Hurricanes,2022-11-21,-0.21,1,1.21
536,Ottawa Senators,1,2,Philadelphia Flyers,2022-11-05,0.21,-1,1.21
537,Columbus Blue Jackets,0,4,Boston Bruins,2022-10-28,-2.80,-4,1.20
538,Colorado Avalanche,2,3,Vegas Golden Knights,2023-01-02,0.19,-1,1.19
539,Minnesota Wild,3,2,Buffalo Sabres,2023-01-28,-0.18,1,1.18
540,Washington Capitals,6,4,Vancouver Canucks,2022-10-17,0.82,2,1.18
541,Florida Panthers,2,4,New Jersey Devils,2022-12-21,-0.82,-2,1.18
542,Montréal Canadiens,2,5,Dallas Stars,2022-10-22,-1.82,-3,1.18
543,Florida Panthers,3,4,Los Angeles Kings,2023-01-27,0.17,-1,1.17
544,Los Angeles Kings,5,4,Florida Panthers,2022-11-05,-0.17,1,1.17
545,Philadelphia Flyers,3,5,Winnipeg Jets,2023-01-22,-0.83,-2,1.17
546,Arizona Coyotes,2,3,Montréal Canadiens,2022-12-19,0.17,-1,1.17
547,New York Rangers,2,3,Colorado Avalanche,2022-10-25,0.16,-1,1.16
548,Chicago Blackhawks,0,3,Carolina Hurricanes,2022-11-14,-1.85,-3,1.15
549,Chicago Blackhawks,1,4,Tampa Bay Lightning,2023-01-03,-1.85,-3,1.15
550,Boston Bruins,3,1,Tampa Bay Lightning,2022-11-29,0.85,2,1.15
551,Carolina Hurricanes,3,0,Chicago Blackhawks,2022-12-27,1.85,3,1.15
552,Edmonton Oilers,2,3,Washington Capitals,2022-12-05,0.15,-1,1.15
553,Tampa Bay Lightning,3,5,Boston Bruins,2022-11-21,-0.85,-2,1.15
554,Los Angeles Kings,2,4,Carolina Hurricanes,2022-12-03,-0.85,-2,1.15
555,Washington Capitals,5,4,Edmonton Oilers,2022-11-07,-0.15,1,1.15
556,New Jersey Devils,4,5,Carolina Hurricanes,2023-01-01,0.14,-1,1.14
557,Seattle Kraken,1,2,Colorado Avalanche,2023-01-21,0.14,-1,1.14
558,Buffalo Sabres,3,4,Pittsburgh Penguins,2022-12-09,0.13,-1,1.13
559,Boston Bruins,4,1,Philadelphia Flyers,2022-11-17,1.89,3,1.11
560,Washington Capitals,2,3,Vegas Golden Knights,2022-11-01,0.11,-1,1.11
561,Winnipeg Jets,2,3,Buffalo Sabres,2023-01-26,0.10,-1,1.10
562,New York Rangers,3,4,Edmonton Oilers,2022-11-26,0.10,-1,1.10
563,Florida Panthers,5,3,Arizona Coyotes,2023-01-03,0.90,2,1.10
564,Montréal Canadiens,2,4,Los Angeles Kings,2022-12-10,-0.90,-2,1.10
565,Calgary Flames,3,2,Vegas Golden Knights,2022-10-18,-0.09,1,1.09
566,Philadelphia Flyers,5,3,Columbus Blue Jackets,2022-12-20,0.91,2,1.09
567,New York Islanders,2,1,Vegas Golden Knights,2023-01-28,-0.09,1,1.09
568,Florida Panthers,3,2,New York Islanders,2022-10-23,-0.09,1,1.09
569,New Jersey Devils,1,2,Toronto Maple Leafs,2022-11-23,0.08,-1,1.08
570,Buffalo Sabres,6,3,Anaheim Ducks,2023-01-21,1.92,3,1.08
571,Colorado Avalanche,4,2,St. Louis Blues,2023-01-28,0.92,2,1.08
572,Tampa Bay Lightning,5,4,Dallas Stars,2022-11-15,-0.08,1,1.08
573,Columbus Blue Jackets,2,4,Detroit Red Wings,2022-12-04,-0.92,-2,1.08
574,St. Louis Blues,3,5,Buffalo Sabres,2023-01-24,-0.92,-2,1.08
575,Carolina Hurricanes,5,4,Dallas Stars,2022-12-17,-0.07,1,1.07
576,Dallas Stars,2,3,Carolina Hurricanes,2023-01-25,0.07,-1,1.07
577,Edmonton Oilers,2,3,Colorado Avalanche,2023-01-07,0.06,-1,1.06
578,Anaheim Ducks,4,5,Seattle Kraken,2022-11-27,-2.06,-1,1.06
579,Tampa Bay Lightning,4,3,Toronto Maple Leafs,2022-12-03,-0.06,1,1.06
580,Carolina Hurricanes,4,1,Columbus Blue Jackets,2022-10-12,1.95,3,1.05
581,Tampa Bay Lightning,4,1,Columbus Blue Jackets,2022-12-15,1.95,3,1.05
582,Columbus Blue Jackets,2,5,Tampa Bay Lightning,2022-10-14,-1.95,-3,1.05
583,Tampa Bay Lightning,6,3,Columbus Blue Jackets,2023-01-10,1.95,3,1.05
584,Seattle Kraken,2,3,Winnipeg Jets,2022-11-13,0.04,-1,1.04
585,Edmonton Oilers,5,3,Vancouver Canucks,2022-10-12,0.97,2,1.03
586,Nashville Predators,3,4,Los Angeles Kings,2022-10-18,0.03,-1,1.03
587,Vancouver Canucks,2,4,Edmonton Oilers,2023-01-21,-0.97,-2,1.03
588,Seattle Kraken,3,2,New York Rangers,2022-11-17,-0.02,1,1.02
589,Winnipeg Jets,3,2,Anaheim Ducks,2022-11-17,2.02,1,1.02
590,Nashville Predators,2,3,Ottawa Senators,2022-12-10,0.02,-1,1.02
591,St. Louis Blues,1,3,Edmonton Oilers,2022-10-26,-0.98,-2,1.02
592,Columbus Blue Jackets,1,2,Dallas Stars,2022-12-19,-2.02,-1,1.02
593,New York Rangers,1,3,Boston Bruins,2023-01-19,-0.99,-2,1.01
594,Detroit Red Wings,1,2,Philadelphia Flyers,2023-01-21,0.01,-1,1.01
595,New Jersey Devils,3,0,Chicago Blackhawks,2022-12-06,1.99,3,1.01
596,Toronto Maple Leafs,3,2,Dallas Stars,2022-10-20,-0.01,1,1.01
597,St. Louis Blues,3,1,Anaheim Ducks,2022-11-21,1.00,2,1.00
598,Winnipeg Jets,4,2,Vancouver Canucks,2022-12-29,1.00,2,1.00
599,San Jose Sharks,2,4,Vegas Golden Knights,2022-10-25,-1.00,-2,1.00
600,New York Islanders,4,3,Calgary Flames,2022-11-07,0.01,1,0.99
601,Tampa Bay Lightning,3,4,Carolina Hurricanes,2022-11-03,-0.01,-1,0.99
602,Los Angeles Kings,2,3,Ottawa Senators,2022-11-27,-0.01,-1,0.99
603,Winnipeg Jets,4,2,St. Louis Blues,2023-01-30,1.02,2,0.98
604,Winnipeg Jets,5,2,Anaheim Ducks,2022-12-04,2.02,3,0.98
605,Chicago Blackhawks,2,4,Nashville Predators,2022-12-21,-1.04,-2,0.96
606,Seattle Kraken,3,2,Winnipeg Jets,2022-12-18,0.04,1,0.96
607,Edmonton Oilers,1,2,Winnipeg Jets,2022-12-31,-0.04,-1,0.96
608,Washington Capitals,3,2,Pittsburgh Penguins,2023-01-26,0.05,1,0.95
609,Boston Bruins,5,2,Vancouver Canucks,2022-11-13,2.06,3,0.94
610,Pittsburgh Penguins,4,3,Vegas Golden Knights,2022-12-01,0.06,1,0.94
611,San Jose Sharks,3,2,Arizona Coyotes,2022-12-13,0.06,1,0.94
612,Dallas Stars,2,3,New Jersey Devils,2023-01-27,-0.07,-1,0.93
613,Colorado Avalanche,3,2,Washington Capitals,2023-01-24,0.08,1,0.92
614,Toronto Maple Leafs,2,3,New Jersey Devils,2022-11-17,-0.08,-1,0.92
615,Florida Panthers,4,5,Calgary Flames,2022-11-19,-0.08,-1,0.92
616,New York Rangers,6,4,St. Louis Blues,2022-12-05,1.08,2,0.92
617,Detroit Red Wings,2,4,Toronto Maple Leafs,2022-11-28,-1.09,-2,0.91
618,Washington Capitals,4,5,Buffalo Sabres,2023-01-03,-0.09,-1,0.91
619,Colorado Avalanche,3,4,Winnipeg Jets,2022-10-19,-0.10,-1,0.90
620,Chicago Blackhawks,2,3,Montréal Canadiens,2022-11-25,-0.11,-1,0.89
621,Tampa Bay Lightning,2,1,New York Rangers,2022-12-29,0.14,1,0.86
622,Colorado Avalanche,2,3,Seattle Kraken,2022-10-21,-0.14,-1,0.86
623,Buffalo Sabres,3,4,Seattle Kraken,2023-01-10,-0.14,-1,0.86
624,Buffalo Sabres,1,3,Boston Bruins,2022-11-12,-1.15,-2,0.85
625,Colorado Avalanche,1,2,New York Rangers,2022-12-09,-0.16,-1,0.84
626,Pittsburgh Penguins,2,1,Calgary Flames,2022-11-23,0.16,1,0.84
627,Carolina Hurricanes,3,2,Seattle Kraken,2022-12-15,0.17,1,0.83
628,Philadelphia Flyers,3,2,Vancouver Canucks,2022-10-15,0.17,1,0.83
629,Buffalo Sabres,6,5,Minnesota Wild,2023-01-07,0.18,1,0.82
630,Detroit Red Wings,4,5,Los Angeles Kings,2022-10-17,-0.19,-1,0.81
631,Los Angeles Kings,4,3,Detroit Red Wings,2022-11-12,0.19,1,0.81
632,Vegas Golden Knights,2,3,Colorado Avalanche,2022-10-22,-0.19,-1,0.81
633,New York Islanders,3,4,Washington Capitals,2023-01-16,-0.19,-1,0.81
634,Boston Bruins,4,2,Columbus Blue Jackets,2022-12-17,2.80,2,0.80
635,Philadelphia Flyers,3,4,Los Angeles Kings,2023-01-24,-0.20,-1,0.80
636,Vegas Golden Knights,2,3,Buffalo Sabres,2022-12-19,-0.20,-1,0.80
637,Toronto Maple Leafs,3,2,New York Rangers,2023-01-25,0.21,1,0.79
638,Pittsburgh Penguins,4,3,Anaheim Ducks,2023-01-16,1.79,1,0.79
639,St. Louis Blues,2,4,Tampa Bay Lightning,2023-01-14,-1.22,-2,0.78
640,Pittsburgh Penguins,7,6,Florida Panthers,2023-01-24,0.23,1,0.77
641,Seattle Kraken,3,2,Washington Capitals,2022-12-01,0.23,1,0.77
642,St. Louis Blues,4,6,Carolina Hurricanes,2022-12-01,-1.23,-2,0.77
643,Montréal Canadiens,4,6,Vegas Golden Knights,2022-11-05,-1.24,-2,0.76
644,Montréal Canadiens,1,3,Minnesota Wild,2022-10-25,-1.25,-2,0.75
645,Calgary Flames,6,5,Los Angeles Kings,2022-11-14,0.25,1,0.75
646,Chicago Blackhawks,1,3,New York Islanders,2022-11-01,-1.26,-2,0.74
647,Minnesota Wild,5,4,Anaheim Ducks,2022-12-03,1.74,1,0.74
648,Edmonton Oilers,4,3,Vegas Golden Knights,2022-11-19,0.26,1,0.74
649,Vegas Golden Knights,3,4,Edmonton Oilers,2023-01-14,-0.26,-1,0.74
