,Home Team,Home Goals,Away Goals,Away Team,Date,xGD,GD,Upset Rating
1,Colorado Avalanche,7,0,Ottawa Senators,2023-01-14,0.52,7,6.48
2,New York Rangers,1,5,Columbus Blue Jackets,2022-10-23,1.80,-4,5.80
3,Washington Capitals,9,2,Montréal Canadiens,2022-12-31,1.35,7,5.65
4,Carolina Hurricanes,0,4,Arizona Coyotes,2022-11-23,1.57,-4,5.57
5,Buffalo Sabres,6,0,Los Angeles Kings,2022-12-13,0.54,6,5.46
6,Arizona Coyotes,5,0,St. Louis Blues,2023-01-26,-0.34,5,5.34
7,Minnesota Wild,6,1,Winnipeg Jets,2022-11-23,-0.28,5,5.28
8,Calgary Flames,1,5,Chicago Blackhawks,2023-01-26,1.25,-4,5.25
9,Detroit Red Wings,2,8,New York Rangers,2022-11-10,-0.89,-6,5.11
10,Seattle Kraken,2,7,Edmonton Oilers,2022-12-30,0.08,-5,5.08
11,Winnipeg Jets,5,0,Colorado Avalanche,2022-11-29,0.10,5,4.90
12,Toronto Maple Leafs,2,6,Ottawa Senators,2023-01-27,0.89,-4,4.89
13,Winnipeg Jets,0,4,Philadelphia Flyers,2023-01-28,0.83,-4,4.83
14,Vancouver Canucks,5,1,Pittsburgh Penguins,2022-10-28,-0.77,4,4.77
15,Carolina Hurricanes,7,2,Edmonton Oilers,2022-11-10,0.25,5,4.75
16,San Jose Sharks,1,7,Edmonton Oilers,2023-01-13,-1.26,-6,4.74
17,Winnipeg Jets,1,4,Columbus Blue Jackets,2022-12-02,1.74,-3,4.74
18,Buffalo Sabres,0,4,Philadelphia Flyers,2023-01-09,0.73,-4,4.73
19,Vegas Golden Knights,1,5,Vancouver Canucks,2022-11-26,0.71,-4,4.71
20,Toronto Maple Leafs,7,0,Anaheim Ducks,2022-12-13,2.29,7,4.71
21,New York Rangers,2,5,Chicago Blackhawks,2022-12-03,1.70,-3,4.70
22,San Jose Sharks,5,1,Ottawa Senators,2022-11-21,-0.68,4,4.68
23,Edmonton Oilers,8,2,Arizona Coyotes,2022-12-07,1.33,6,4.67
24,Arizona Coyotes,6,3,Toronto Maple Leafs,2022-12-29,-1.63,3,4.63
25,Pittsburgh Penguins,6,1,Los Angeles Kings,2022-10-20,0.40,5,4.60
26,Carolina Hurricanes,2,6,New York Islanders,2022-10-28,0.59,-4,4.59
27,Montréal Canadiens,4,1,Winnipeg Jets,2023-01-17,-1.53,3,4.53
28,Florida Panthers,5,2,Boston Bruins,2022-11-23,-1.52,3,4.52
29,Seattle Kraken,1,5,Florida Panthers,2022-12-03,0.51,-4,4.51
30,Minnesota Wild,5,1,Tampa Bay Lightning,2023-01-04,-0.49,4,4.49
31,Pittsburgh Penguins,6,2,Tampa Bay Lightning,2022-10-15,-0.44,4,4.44
32,Washington Capitals,5,1,Tampa Bay Lightning,2022-11-11,-0.39,4,4.39
33,New York Islanders,7,1,Anaheim Ducks,2022-10-15,1.64,6,4.36
34,Vegas Golden Knights,1,5,Los Angeles Kings,2023-01-07,0.34,-4,4.34
35,Chicago Blackhawks,1,7,New York Rangers,2022-12-18,-1.70,-6,4.30
36,Anaheim Ducks,2,0,Dallas Stars,2023-01-04,-2.30,2,4.30
37,Anaheim Ducks,1,6,San Jose Sharks,2022-12-09,-0.72,-5,4.28
38,Winnipeg Jets,5,1,Dallas Stars,2022-11-08,-0.28,4,4.28
39,Buffalo Sabres,8,3,Detroit Red Wings,2022-10-31,0.73,5,4.27
40,Buffalo Sabres,1,4,Arizona Coyotes,2022-11-08,1.26,-3,4.26
41,Arizona Coyotes,6,3,Colorado Avalanche,2022-12-27,-1.26,3,4.26
42,New York Rangers,0,4,Washington Capitals,2022-12-27,0.25,-4,4.25
43,Toronto Maple Leafs,1,5,Seattle Kraken,2023-01-05,0.23,-4,4.23
44,Philadelphia Flyers,5,2,New Jersey Devils,2022-10-13,-1.18,3,4.18
45,New Jersey Devils,2,5,Detroit Red Wings,2022-10-15,1.18,-3,4.18
46,Montréal Canadiens,6,2,Arizona Coyotes,2022-10-20,-0.17,4,4.17
47,New York Islanders,5,1,Pittsburgh Penguins,2022-12-27,-0.15,4,4.15
48,Vegas Golden Knights,6,2,Washington Capitals,2023-01-21,-0.11,4,4.11
49,Boston Bruins,6,0,Philadelphia Flyers,2023-01-16,1.89,6,4.11
50,Toronto Maple Leafs,5,0,Los Angeles Kings,2022-12-08,0.90,5,4.10
51,Detroit Red Wings,4,1,Toronto Maple Leafs,2023-01-12,-1.09,3,4.09
52,Ottawa Senators,5,0,Montréal Canadiens,2023-01-28,0.91,5,4.09
53,Columbus Blue Jackets,1,6,Detroit Red Wings,2022-11-19,-0.92,-5,4.08
54,Arizona Coyotes,4,1,Vegas Golden Knights,2023-01-22,-1.07,3,4.07
55,Detroit Red Wings,7,4,Tampa Bay Lightning,2022-12-21,-1.03,3,4.03
56,San Jose Sharks,5,2,Minnesota Wild,2022-12-22,-1.02,3,4.02
57,Boston Bruins,0,3,Seattle Kraken,2023-01-12,1.01,-3,4.01
58,Vancouver Canucks,1,5,St. Louis Blues,2022-12-19,0.01,-4,4.01
59,Dallas Stars,0,4,Toronto Maple Leafs,2022-12-06,0.01,-4,4.01
60,Vegas Golden Knights,2,5,San Jose Sharks,2022-11-15,1.00,-3,4.00
61,Edmonton Oilers,2,5,Vancouver Canucks,2022-12-23,0.97,-3,3.97
62,Seattle Kraken,6,1,Vancouver Canucks,2023-01-25,1.05,5,3.95
63,Florida Panthers,7,2,Montréal Canadiens,2022-12-29,1.07,5,3.93
64,Washington Capitals,0,4,Colorado Avalanche,2022-11-19,-0.08,-4,3.92
65,Colorado Avalanche,3,5,Anaheim Ducks,2023-01-26,1.92,-2,3.92
66,Calgary Flames,6,2,Florida Panthers,2022-11-29,0.08,4,3.92
67,New Jersey Devils,7,1,Columbus Blue Jackets,2022-10-30,2.09,6,3.91
68,Columbus Blue Jackets,5,2,Philadelphia Flyers,2022-11-10,-0.91,3,3.91
69,New York Islanders,5,1,Florida Panthers,2022-12-23,0.09,4,3.91
70,Seattle Kraken,5,1,Buffalo Sabres,2022-10-25,0.14,4,3.86
71,Tampa Bay Lightning,6,2,Seattle Kraken,2022-12-13,0.16,4,3.84
72,Carolina Hurricanes,4,1,Boston Bruins,2023-01-29,-0.84,3,3.84
73,Seattle Kraken,1,5,Carolina Hurricanes,2022-10-17,-0.17,-4,3.83
74,Philadelphia Flyers,1,4,Chicago Blackhawks,2023-01-19,0.81,-3,3.81
75,Philadelphia Flyers,5,1,St. Louis Blues,2022-11-08,0.19,4,3.81
76,Montréal Canadiens,0,4,San Jose Sharks,2022-11-29,-0.24,-4,3.76
77,Minnesota Wild,0,3,St. Louis Blues,2023-01-08,0.74,-3,3.74
78,Vancouver Canucks,6,2,San Jose Sharks,2022-12-27,0.29,4,3.71
79,Edmonton Oilers,2,6,Dallas Stars,2022-11-05,-0.32,-4,3.68
80,Florida Panthers,3,0,Carolina Hurricanes,2022-11-09,-0.68,3,3.68
81,Minnesota Wild,0,4,Seattle Kraken,2022-11-03,-0.32,-4,3.68
82,Ottawa Senators,7,5,Boston Bruins,2022-10-18,-1.68,2,3.68
83,Arizona Coyotes,2,5,Anaheim Ducks,2023-01-24,0.66,-3,3.66
84,Minnesota Wild,3,7,New York Rangers,2022-10-13,-0.34,-4,3.66
85,Vegas Golden Knights,1,5,New York Rangers,2022-12-07,-0.36,-4,3.64
86,New York Islanders,4,7,St. Louis Blues,2022-12-06,0.64,-3,3.64
87,Florida Panthers,5,1,Detroit Red Wings,2022-12-08,0.36,4,3.64
88,Toronto Maple Leafs,2,4,Arizona Coyotes,2022-10-17,1.63,-2,3.63
89,Colorado Avalanche,2,6,Toronto Maple Leafs,2022-12-31,-0.37,-4,3.63
90,Calgary Flames,2,5,St. Louis Blues,2022-12-16,0.63,-3,3.63
91,St. Louis Blues,1,5,Los Angeles Kings,2022-10-31,-0.38,-4,3.62
92,Los Angeles Kings,6,3,Edmonton Oilers,2023-01-09,-0.60,3,3.60
93,Calgary Flames,6,3,Tampa Bay Lightning,2023-01-21,-0.59,3,3.59
94,San Jose Sharks,5,3,Dallas Stars,2023-01-18,-1.58,2,3.58
95,Anaheim Ducks,1,6,Nashville Predators,2022-12-30,-1.42,-5,3.58
96,Nashville Predators,6,2,St. Louis Blues,2022-10-27,0.42,4,3.58
97,Seattle Kraken,2,4,Montréal Canadiens,2022-12-06,1.57,-2,3.57
98,Montréal Canadiens,2,7,Buffalo Sabres,2022-11-22,-1.43,-5,3.57
99,Toronto Maple Leafs,5,1,Washington Capitals,2023-01-29,0.45,4,3.55
100,New Jersey Devils,3,6,Washington Capitals,2022-10-24,0.54,-3,3.54
101,Montréal Canadiens,5,2,Vancouver Canucks,2022-11-09,-0.53,3,3.53
102,St. Louis Blues,4,7,Montréal Canadiens,2022-10-29,0.52,-3,3.52
103,Ottawa Senators,4,1,Buffalo Sabres,2022-11-16,-0.52,3,3.52
104,Montréal Canadiens,2,5,Anaheim Ducks,2022-12-15,0.48,-3,3.48
105,Philadelphia Flyers,6,2,Arizona Coyotes,2023-01-05,0.53,4,3.47
106,Philadelphia Flyers,0,3,San Jose Sharks,2022-10-23,0.47,-3,3.47
107,New York Rangers,6,2,Florida Panthers,2023-01-23,0.53,4,3.47
108,New Jersey Devils,5,1,Washington Capitals,2022-11-26,0.54,4,3.46
109,Vancouver Canucks,1,5,Florida Panthers,2022-12-01,-0.54,-4,3.46
110,Detroit Red Wings,3,0,New York Islanders,2022-11-05,-0.45,3,3.45
111,Washington Capitals,5,2,Toronto Maple Leafs,2022-12-17,-0.45,3,3.45
112,New York Islanders,3,0,New York Rangers,2022-10-26,-0.44,3,3.44
113,Ottawa Senators,5,2,Washington Capitals,2022-10-20,-0.44,3,3.44
114,Seattle Kraken,2,5,Calgary Flames,2023-01-27,0.43,-3,3.43
115,Vegas Golden Knights,0,4,Dallas Stars,2023-01-16,-0.58,-4,3.42
116,St. Louis Blues,5,2,Nashville Predators,2023-01-19,-0.42,3,3.42
117,Arizona Coyotes,4,3,Boston Bruins,2022-12-09,-2.42,1,3.42
118,Colorado Avalanche,4,1,Dallas Stars,2022-11-26,-0.38,3,3.38
119,Winnipeg Jets,5,1,Ottawa Senators,2022-12-20,0.62,4,3.38
120,Ottawa Senators,1,5,Winnipeg Jets,2023-01-21,-0.62,-4,3.38
121,Vancouver Canucks,2,6,New York Islanders,2023-01-03,-0.63,-4,3.37
122,New Jersey Devils,3,5,St. Louis Blues,2023-01-05,1.37,-2,3.37
123,Vancouver Canucks,4,1,Los Angeles Kings,2022-11-18,-0.37,3,3.37
124,Buffalo Sabres,1,4,Florida Panthers,2023-01-16,0.37,-3,3.37
125,Arizona Coyotes,2,7,Dallas Stars,2022-11-03,-1.64,-5,3.36
126,Chicago Blackhawks,2,7,Winnipeg Jets,2022-11-27,-1.64,-5,3.36
127,Columbus Blue Jackets,4,9,Buffalo Sabres,2022-12-07,-1.64,-5,3.36
128,Seattle Kraken,5,1,Nashville Predators,2022-11-08,0.64,4,3.36
129,Columbus Blue Jackets,3,1,Calgary Flames,2022-12-09,-1.35,2,3.35
130,San Jose Sharks,2,5,Chicago Blackhawks,2022-10-15,0.34,-3,3.34
131,Ottawa Senators,4,8,Seattle Kraken,2023-01-07,-0.66,-4,3.34
132,New York Islanders,3,0,Edmonton Oilers,2022-11-23,-0.34,3,3.34
133,Seattle Kraken,2,5,Vegas Golden Knights,2022-10-15,0.33,-3,3.33
134,Carolina Hurricanes,4,0,Florida Panthers,2022-12-30,0.68,4,3.32
135,Dallas Stars,3,6,Edmonton Oilers,2022-12-21,0.32,-3,3.32
136,Colorado Avalanche,4,1,Carolina Hurricanes,2022-11-12,-0.31,3,3.31
137,Anaheim Ducks,4,3,Toronto Maple Leafs,2022-10-30,-2.29,1,3.29
138,Vegas Golden Knights,5,2,Winnipeg Jets,2022-10-20,-0.29,3,3.29
139,Florida Panthers,5,2,Washington Capitals,2022-11-15,-0.28,3,3.28
140,Winnipeg Jets,1,4,Minnesota Wild,2022-12-27,0.28,-3,3.28
141,Columbus Blue Jackets,5,3,Florida Panthers,2022-11-20,-1.28,2,3.28
142,Ottawa Senators,6,2,Arizona Coyotes,2022-10-22,0.74,4,3.26
143,Dallas Stars,5,1,Florida Panthers,2023-01-08,0.75,4,3.25
144,Anaheim Ducks,4,3,Carolina Hurricanes,2022-12-06,-2.23,1,3.23
145,Winnipeg Jets,0,3,Pittsburgh Penguins,2022-11-19,0.23,-3,3.23
146,Washington Capitals,4,1,Seattle Kraken,2022-12-09,-0.23,3,3.23
147,Dallas Stars,3,6,New York Rangers,2022-10-29,0.22,-3,3.22
148,Detroit Red Wings,3,0,Nashville Predators,2022-11-23,-0.22,3,3.22
149,New York Islanders,1,4,Nashville Predators,2022-12-02,0.22,-3,3.22
150,Calgary Flames,1,4,Nashville Predators,2022-11-03,0.21,-3,3.21
151,Pittsburgh Penguins,6,2,St. Louis Blues,2022-12-03,0.79,4,3.21
152,Buffalo Sabres,4,7,Vegas Golden Knights,2022-11-10,0.20,-3,3.20
153,Calgary Flames,5,2,Washington Capitals,2022-12-03,-0.20,3,3.20
154,Winnipeg Jets,2,5,Washington Capitals,2022-12-11,0.18,-3,3.18
155,Vancouver Canucks,1,5,Washington Capitals,2022-11-29,-0.82,-4,3.18
156,Chicago Blackhawks,4,2,Florida Panthers,2022-10-25,-1.18,2,3.18
157,Washington Capitals,4,1,Winnipeg Jets,2022-12-23,-0.18,3,3.18
158,Calgary Flames,4,1,Pittsburgh Penguins,2022-10-25,-0.16,3,3.16
159,Columbus Blue Jackets,5,3,Nashville Predators,2022-10-20,-1.14,2,3.14
160,Carolina Hurricanes,4,1,New Jersey Devils,2022-12-20,-0.14,3,3.14
161,Dallas Stars,5,1,Nashville Predators,2022-10-15,0.88,4,3.12
162,Columbus Blue Jackets,4,1,Chicago Blackhawks,2022-12-31,-0.10,3,3.10
163,San Jose Sharks,3,7,Calgary Flames,2022-12-20,-0.91,-4,3.09
164,Vancouver Canucks,1,5,Buffalo Sabres,2022-10-22,-0.91,-4,3.09
165,Vegas Golden Knights,2,5,New York Islanders,2022-12-17,0.09,-3,3.09
166,Los Angeles Kings,0,4,Dallas Stars,2023-01-19,-0.92,-4,3.08
167,Buffalo Sabres,6,2,St. Louis Blues,2022-11-23,0.92,4,3.08
168,Edmonton Oilers,5,2,Seattle Kraken,2023-01-17,-0.08,3,3.08
169,Anaheim Ducks,3,2,New York Rangers,2022-11-23,-2.08,1,3.08
170,Pittsburgh Penguins,4,6,San Jose Sharks,2023-01-28,1.07,-2,3.07
171,New Jersey Devils,1,4,Dallas Stars,2022-12-13,0.07,-3,3.07
172,Anaheim Ducks,5,4,Seattle Kraken,2022-10-12,-2.06,1,3.06
173,Vegas Golden Knights,5,2,Pittsburgh Penguins,2023-01-05,-0.06,3,3.06
174,Winnipeg Jets,4,1,New York Rangers,2022-10-14,-0.06,3,3.06
175,Washington Capitals,1,4,Pittsburgh Penguins,2022-11-09,0.05,-3,3.05
176,Tampa Bay Lightning,2,4,Detroit Red Wings,2022-12-06,1.03,-2,3.03
177,Ottawa Senators,1,5,New Jersey Devils,2022-11-19,-0.97,-4,3.03
178,Ottawa Senators,2,5,Los Angeles Kings,2022-12-06,0.01,-3,3.01
179,Calgary Flames,4,1,New York Islanders,2023-01-06,-0.01,3,3.01
180,Vancouver Canucks,1,5,Winnipeg Jets,2022-12-17,-1.00,-4,3.00
181,St. Louis Blues,6,2,Anaheim Ducks,2022-11-19,1.00,4,3.00
182,Ottawa Senators,0,3,Nashville Predators,2023-01-09,-0.02,-3,2.98
183,Winnipeg Jets,4,0,St. Louis Blues,2022-10-24,1.02,4,2.98
184,New York Islanders,0,2,Arizona Coyotes,2022-11-10,0.98,-2,2.98
185,Edmonton Oilers,3,4,Anaheim Ducks,2022-12-17,1.98,-1,2.98
186,Edmonton Oilers,0,2,St. Louis Blues,2022-10-22,0.98,-2,2.98
187,Columbus Blue Jackets,4,3,Carolina Hurricanes,2023-01-07,-1.95,1,2.95
188,Nashville Predators,6,4,New Jersey Devils,2023-01-26,-0.95,2,2.95
189,Toronto Maple Leafs,4,1,Tampa Bay Lightning,2022-12-20,0.06,3,2.94
190,Anaheim Ducks,1,7,Boston Bruins,2023-01-08,-3.07,-6,2.93
191,Montréal Canadiens,2,6,Florida Panthers,2023-01-19,-1.07,-4,2.93
192,Edmonton Oilers,2,5,Seattle Kraken,2023-01-03,-0.08,-3,2.92
193,Ottawa Senators,4,2,Dallas Stars,2022-10-24,-0.90,2,2.90
194,Chicago Blackhawks,5,2,Columbus Blue Jackets,2022-12-23,0.10,3,2.90
195,Arizona Coyotes,3,1,Florida Panthers,2022-11-01,-0.90,2,2.90
196,Philadelphia Flyers,2,6,Toronto Maple Leafs,2023-01-08,-1.10,-4,2.90
197,Vancouver Canucks,4,2,Colorado Avalanche,2023-01-05,-0.90,2,2.90
198,Los Angeles Kings,4,2,Toronto Maple Leafs,2022-10-29,-0.90,2,2.90
199,Philadelphia Flyers,1,5,Dallas Stars,2022-11-13,-1.11,-4,2.89
200,Ottawa Senators,4,0,Columbus Blue Jackets,2023-01-03,1.12,4,2.88
201,Pittsburgh Penguins,6,2,Arizona Coyotes,2022-10-13,1.13,4,2.87
202,Buffalo Sabres,6,3,Pittsburgh Penguins,2022-11-02,0.13,3,2.87
203,Boston Bruins,5,1,Colorado Avalanche,2022-12-03,1.16,4,2.84
204,Seattle Kraken,1,4,Tampa Bay Lightning,2023-01-16,-0.16,-3,2.84
205,Colorado Avalanche,0,4,Boston Bruins,2022-12-07,-1.16,-4,2.84
206,Los Angeles Kings,4,2,Tampa Bay Lightning,2022-10-25,-0.84,2,2.84
207,Minnesota Wild,3,6,Colorado Avalanche,2022-10-17,-0.18,-3,2.82
208,Arizona Coyotes,0,4,Washington Capitals,2023-01-19,-1.18,-4,2.82
209,Detroit Red Wings,7,5,Winnipeg Jets,2023-01-10,-0.82,2,2.82
210,Detroit Red Wings,2,6,New Jersey Devils,2022-10-25,-1.18,-4,2.82
211,Detroit Red Wings,1,5,New Jersey Devils,2023-01-04,-1.18,-4,2.82
212,New Jersey Devils,2,4,Florida Panthers,2022-12-17,0.82,-2,2.82
213,Detroit Red Wings,5,1,Anaheim Ducks,2022-10-23,1.19,4,2.81
214,Carolina Hurricanes,3,5,Nashville Predators,2023-01-05,0.81,-2,2.81
215,Montréal Canadiens,3,2,Toronto Maple Leafs,2023-01-21,-1.80,1,2.80
216,Montréal Canadiens,4,3,Toronto Maple Leafs,2022-10-12,-1.80,1,2.80
217,Washington Capitals,3,0,Calgary Flames,2022-11-25,0.20,3,2.80
218,Edmonton Oilers,6,3,Pittsburgh Penguins,2022-10-24,0.20,3,2.80
219,Detroit Red Wings,3,6,Ottawa Senators,2022-12-17,-0.21,-3,2.79
220,Philadelphia Flyers,1,4,Ottawa Senators,2022-11-12,-0.21,-3,2.79
221,Pittsburgh Penguins,1,4,Winnipeg Jets,2023-01-13,-0.23,-3,2.77
222,Edmonton Oilers,5,2,Minnesota Wild,2022-12-09,0.24,3,2.76
223,Philadelphia Flyers,5,3,Colorado Avalanche,2022-12-05,-0.73,2,2.73
224,New Jersey Devils,4,6,New York Islanders,2022-12-09,0.73,-2,2.73
225,Toronto Maple Leafs,4,1,Winnipeg Jets,2023-01-19,0.27,3,2.73
226,Winnipeg Jets,1,4,Toronto Maple Leafs,2022-10-22,-0.27,-3,2.73
227,Florida Panthers,4,0,Columbus Blue Jackets,2022-12-13,1.28,4,2.72
228,Anaheim Ducks,3,2,Vegas Golden Knights,2022-12-28,-1.72,1,2.72
229,Dallas Stars,4,1,Winnipeg Jets,2022-10-17,0.28,3,2.72
230,Calgary Flames,3,6,Buffalo Sabres,2022-10-20,-0.29,-3,2.71
231,Calgary Flames,1,4,Colorado Avalanche,2023-01-18,-0.29,-3,2.71
232,Dallas Stars,5,0,Anaheim Ducks,2022-12-01,2.30,5,2.70
233,Edmonton Oilers,2,3,Columbus Blue Jackets,2023-01-25,1.70,-1,2.70
234,Boston Bruins,2,3,Los Angeles Kings,2022-12-15,1.69,-1,2.69
235,Chicago Blackhawks,5,4,Seattle Kraken,2022-10-23,-1.68,1,2.68
236,Ottawa Senators,3,2,Boston Bruins,2022-12-27,-1.68,1,2.68
237,Vegas Golden Knights,4,1,Ottawa Senators,2022-11-23,0.33,3,2.67
238,Chicago Blackhawks,2,5,San Jose Sharks,2023-01-01,-0.34,-3,2.66
239,Washington Capitals,1,3,Philadelphia Flyers,2023-01-14,0.65,-2,2.65
240,Philadelphia Flyers,5,3,Washington Capitals,2023-01-11,-0.65,2,2.65
241,Detroit Red Wings,3,1,Washington Capitals,2022-11-03,-0.64,2,2.64
242,New York Rangers,4,1,Vegas Golden Knights,2023-01-27,0.36,3,2.64
243,Toronto Maple Leafs,5,2,Buffalo Sabres,2022-11-19,0.37,3,2.63
244,Columbus Blue Jackets,3,6,Arizona Coyotes,2022-10-25,-0.38,-3,2.62
245,St. Louis Blues,3,5,Chicago Blackhawks,2023-01-21,0.62,-2,2.62
246,Tampa Bay Lightning,6,3,Washington Capitals,2022-11-13,0.39,3,2.61
247,New Jersey Devils,5,2,Edmonton Oilers,2022-11-21,0.39,3,2.61
248,Pittsburgh Penguins,4,1,Ottawa Senators,2023-01-20,0.39,3,2.61
249,Anaheim Ducks,1,5,Ottawa Senators,2022-11-25,-1.40,-4,2.60
250,New York Rangers,1,2,Montréal Canadiens,2023-01-15,1.60,-1,2.60
251,Edmonton Oilers,1,3,Los Angeles Kings,2022-11-16,0.60,-2,2.60
252,Dallas Stars,4,5,San Jose Sharks,2022-11-11,1.58,-1,2.58
253,Nashville Predators,0,3,Washington Capitals,2022-10-29,-0.42,-3,2.58
254,Seattle Kraken,4,1,New York Islanders,2023-01-01,0.42,3,2.58
255,San Jose Sharks,4,3,Toronto Maple Leafs,2022-10-27,-1.57,1,2.57
256,Vegas Golden Knights,3,1,Toronto Maple Leafs,2022-10-24,-0.56,2,2.56
257,Philadelphia Flyers,2,5,Calgary Flames,2022-11-21,-0.44,-3,2.56
258,New York Islanders,5,2,Philadelphia Flyers,2022-11-26,0.45,3,2.55
259,Chicago Blackhawks,4,3,Buffalo Sabres,2023-01-17,-1.54,1,2.54
260,Chicago Blackhawks,3,7,Washington Capitals,2022-12-13,-1.46,-4,2.54
261,Winnipeg Jets,5,2,Florida Panthers,2022-12-06,0.46,3,2.54
262,Chicago Blackhawks,3,2,Colorado Avalanche,2023-01-12,-1.54,1,2.54
263,San Jose Sharks,4,7,Detroit Red Wings,2022-11-17,-0.47,-3,2.53
264,Florida Panthers,4,3,Boston Bruins,2023-01-28,-1.52,1,2.52
265,Ottawa Senators,3,1,Buffalo Sabres,2023-01-01,-0.52,2,2.52
266,Carolina Hurricanes,5,2,Minnesota Wild,2023-01-19,0.49,3,2.51
267,Pittsburgh Penguins,1,4,Toronto Maple Leafs,2022-11-26,-0.50,-3,2.50
268,Toronto Maple Leafs,2,4,Pittsburgh Penguins,2022-11-11,0.50,-2,2.50
269,Pittsburgh Penguins,2,5,Toronto Maple Leafs,2022-11-15,-0.50,-3,2.50
270,Florida Panthers,2,5,Seattle Kraken,2022-12-11,-0.51,-3,2.49
271,Buffalo Sabres,4,1,Ottawa Senators,2022-10-13,0.52,3,2.48
272,Boston Bruins,7,3,Florida Panthers,2022-12-19,1.52,4,2.48
273,Detroit Red Wings,1,4,Vegas Golden Knights,2022-12-03,-0.53,-3,2.47
274,Philadelphia Flyers,3,1,New York Islanders,2022-11-29,-0.45,2,2.45
275,Minnesota Wild,4,1,Detroit Red Wings,2022-12-14,0.55,3,2.45
276,Edmonton Oilers,7,4,Nashville Predators,2022-11-01,0.56,3,2.44
277,Minnesota Wild,1,4,Dallas Stars,2022-12-29,-0.56,-3,2.44
278,Columbus Blue Jackets,5,3,San Jose Sharks,2023-01-21,-0.44,2,2.44
279,Nashville Predators,3,6,Edmonton Oilers,2022-12-13,-0.56,-3,2.44
280,Columbus Blue Jackets,2,6,Washington Capitals,2023-01-05,-1.56,-4,2.44
281,Montréal Canadiens,0,4,Seattle Kraken,2023-01-09,-1.57,-4,2.43
282,Buffalo Sabres,2,3,Montréal Canadiens,2022-10-27,1.43,-1,2.43
283,New York Islanders,0,3,Carolina Hurricanes,2022-12-10,-0.59,-3,2.41
284,New York Islanders,2,5,Carolina Hurricanes,2023-01-21,-0.59,-3,2.41
285,Tampa Bay Lightning,4,1,Calgary Flames,2022-11-17,0.59,3,2.41
286,Philadelphia Flyers,1,4,Pittsburgh Penguins,2022-11-25,-0.60,-3,2.40
287,Edmonton Oilers,7,3,Chicago Blackhawks,2023-01-28,1.60,4,2.40
288,Ottawa Senators,4,6,Vancouver Canucks,2022-11-08,0.38,-2,2.38
289,Chicago Blackhawks,2,5,St. Louis Blues,2022-11-16,-0.62,-3,2.38
290,St. Louis Blues,1,4,Calgary Flames,2023-01-12,-0.63,-3,2.37
291,Dallas Stars,4,0,Arizona Coyotes,2023-01-21,1.64,4,2.36
292,Vancouver Canucks,5,2,Chicago Blackhawks,2023-01-24,0.64,3,2.36
293,Winnipeg Jets,4,0,Chicago Blackhawks,2022-11-05,1.64,4,2.36
294,New York Rangers,2,3,San Jose Sharks,2022-10-20,1.36,-1,2.36
295,Columbus Blue Jackets,1,5,Colorado Avalanche,2022-11-05,-1.64,-4,2.36
296,St. Louis Blues,2,5,New York Islanders,2022-11-03,-0.64,-3,2.36
297,Philadelphia Flyers,1,4,Washington Capitals,2022-12-07,-0.65,-3,2.35
298,Boston Bruins,3,4,Vegas Golden Knights,2022-12-05,1.35,-1,2.35
299,Toronto Maple Leafs,5,2,New York Islanders,2023-01-23,0.65,3,2.35
300,Dallas Stars,5,2,New York Islanders,2022-11-19,0.66,3,2.34
301,San Jose Sharks,2,5,Los Angeles Kings,2022-11-25,-0.66,-3,2.34
302,Los Angeles Kings,4,2,Vegas Golden Knights,2022-12-27,-0.34,2,2.34
303,Tampa Bay Lightning,4,1,Florida Panthers,2022-12-10,0.67,3,2.33
304,Los Angeles Kings,1,4,Seattle Kraken,2022-10-13,-0.67,-3,2.33
305,Ottawa Senators,5,2,San Jose Sharks,2022-12-03,0.68,3,2.32
306,Nashville Predators,4,1,San Jose Sharks,2022-10-07,0.70,3,2.30
307,Montréal Canadiens,3,2,Pittsburgh Penguins,2022-10-17,-1.30,1,2.30
308,Boston Bruins,6,1,Chicago Blackhawks,2022-11-19,2.70,5,2.30
309,Montréal Canadiens,5,4,Pittsburgh Penguins,2022-11-12,-1.30,1,2.30
310,Calgary Flames,5,3,Colorado Avalanche,2022-10-13,-0.29,2,2.29
311,Toronto Maple Leafs,5,6,St. Louis Blues,2023-01-03,1.29,-1,2.29
312,Detroit Red Wings,3,0,Montréal Canadiens,2022-10-14,0.71,3,2.29
313,Vancouver Canucks,0,3,Minnesota Wild,2022-12-10,-0.72,-3,2.28
314,St. Louis Blues,5,2,Columbus Blue Jackets,2022-10-15,0.72,3,2.28
315,Vegas Golden Knights,4,0,Anaheim Ducks,2022-10-28,1.72,4,2.28
316,Columbus Blue Jackets,3,5,Anaheim Ducks,2023-01-19,0.28,-2,2.28
317,Chicago Blackhawks,2,0,Arizona Coyotes,2023-01-06,-0.28,2,2.28
318,New York Islanders,1,4,New Jersey Devils,2022-10-20,-0.73,-3,2.27
319,Buffalo Sabres,6,3,Detroit Red Wings,2022-12-29,0.73,3,2.27
320,Colorado Avalanche,6,3,Detroit Red Wings,2023-01-16,0.73,3,2.27
321,St. Louis Blues,2,5,Minnesota Wild,2022-12-31,-0.74,-3,2.26
322,Vancouver Canucks,5,2,Columbus Blue Jackets,2023-01-27,0.74,3,2.26
