,Team,Opponent,GF,GA,Date,xGD,Performance
345,Los Angeles Kings,Vegas Golden Knights,4,2,2022-12-27,-0.34,2.18
346,Seattle Kraken,Vegas Golden Knights,4,2,2022-11-25,0.33,2.18
347,Detroit Red Wings,San Jose Sharks,7,4,2022-11-17,0.47,2.18
348,Chicago Blackhawks,San Jose Sharks,5,2,2022-10-15,-0.34,2.18
349,Boston Bruins,Vegas Golden Knights,3,1,2022-12-11,1.35,2.18
350,Los Angeles Kings,San Jose Sharks,5,2,2022-11-25,0.66,2.18
351,Calgary Flames,San Jose Sharks,5,2,2022-12-18,0.91,2.18
352,Pittsburgh Penguins,Arizona Coyotes,4,1,2023-01-08,1.13,2.11
353,New York Rangers,Arizona Coyotes,4,1,2022-11-13,1.42,2.11
354,Boston Bruins,Arizona Coyotes,6,3,2022-10-15,2.42,2.11
355,Vegas Golden Knights,Arizona Coyotes,5,2,2022-12-21,1.07,2.11
356,Anaheim Ducks,Arizona Coyotes,5,2,2023-01-24,-0.66,2.11
357,Buffalo Sabres,Arizona Coyotes,5,2,2022-12-17,1.26,2.11
358,Vegas Golden Knights,Arizona Coyotes,4,1,2022-11-17,1.07,2.11
359,Edmonton Oilers,New York Islanders,4,2,2023-01-05,0.34,2.09
360,Boston Bruins,Calgary Flames,3,1,2022-11-10,1.44,2.09
361,Arizona Coyotes,New York Islanders,2,0,2022-11-10,-0.98,2.09
362,Florida Panthers,New York Islanders,3,1,2022-10-13,-0.09,2.09
363,Philadelphia Flyers,New York Islanders,3,1,2022-11-29,-0.45,2.09
364,Minnesota Wild,New York Islanders,3,1,2023-01-12,0.10,2.09
365,Tampa Bay Lightning,New York Islanders,5,3,2022-10-22,0.58,2.09
366,New York Rangers,New York Islanders,5,3,2022-12-22,0.44,2.09
367,Columbus Blue Jackets,Calgary Flames,3,1,2022-12-09,-1.35,2.09
368,Columbus Blue Jackets,Florida Panthers,5,3,2022-11-20,-1.28,2.01
369,Pittsburgh Penguins,Florida Panthers,4,2,2022-12-15,0.23,2.01
370,Arizona Coyotes,Florida Panthers,3,1,2022-11-01,-0.90,2.01
371,New Jersey Devils,Florida Panthers,4,2,2022-12-21,0.82,2.01
372,Edmonton Oilers,Florida Panthers,4,2,2022-11-12,0.43,2.01
373,Dallas Stars,Florida Panthers,6,4,2022-11-17,0.75,2.01
374,Chicago Blackhawks,Florida Panthers,4,2,2022-10-25,-1.18,2.01
375,Vegas Golden Knights,Florida Panthers,4,2,2023-01-12,0.17,2.01
376,New York Rangers,Florida Panthers,5,3,2023-01-01,0.53,2.01
377,Boston Bruins,Florida Panthers,5,3,2022-10-17,1.52,2.01
378,New York Rangers,Montréal Canadiens,4,1,2023-01-05,1.60,1.94
379,Anaheim Ducks,Montréal Canadiens,5,2,2022-12-15,-0.48,1.94
380,Dallas Stars,Montréal Canadiens,5,2,2022-10-22,1.82,1.94
381,Detroit Red Wings,Montréal Canadiens,3,0,2022-10-14,0.71,1.94
382,Nashville Predators,Montréal Canadiens,6,3,2023-01-03,0.93,1.94
383,Tampa Bay Lightning,Montréal Canadiens,4,1,2022-12-28,1.74,1.94
384,Minnesota Wild,Montréal Canadiens,4,1,2022-11-01,1.25,1.94
385,Colorado Avalanche,Nashville Predators,5,3,2022-11-10,0.50,1.87
386,Philadelphia Flyers,Nashville Predators,3,1,2022-10-22,-0.23,1.87
387,Columbus Blue Jackets,Nashville Predators,5,3,2022-10-20,-1.14,1.87
388,Colorado Avalanche,Nashville Predators,3,1,2022-12-17,0.50,1.87
389,Buffalo Sabres,Nashville Predators,5,3,2023-01-14,0.50,1.87
390,Minnesota Wild,Ottawa Senators,4,2,2022-12-18,0.34,1.85
391,Vancouver Canucks,Ottawa Senators,6,4,2022-11-08,-0.38,1.85
392,New York Rangers,Ottawa Senators,3,1,2022-11-30,0.68,1.85
393,Detroit Red Wings,Ottawa Senators,4,2,2022-12-31,-0.21,1.85
394,Minnesota Wild,Ottawa Senators,4,2,2022-10-27,0.34,1.85
395,New York Islanders,Ottawa Senators,4,2,2022-11-14,0.24,1.85
396,Florida Panthers,Ottawa Senators,5,3,2022-10-29,0.16,1.85
397,Carolina Hurricanes,Los Angeles Kings,4,2,2022-12-03,0.85,1.84
398,New York Rangers,Los Angeles Kings,5,3,2022-11-22,0.70,1.84
399,Philadelphia Flyers,Los Angeles Kings,4,2,2022-12-31,-0.20,1.84
400,Nashville Predators,Los Angeles Kings,5,3,2023-01-21,0.03,1.84
401,Winnipeg Jets,Los Angeles Kings,6,4,2022-10-27,0.63,1.84
402,Seattle Kraken,New Jersey Devils,4,3,2023-01-19,-0.31,1.83
403,New Jersey Devils,Chicago Blackhawks,3,0,2022-12-06,1.99,1.83
404,Tampa Bay Lightning,Chicago Blackhawks,4,1,2023-01-03,1.85,1.83
405,Seattle Kraken,Chicago Blackhawks,8,5,2023-01-14,1.68,1.83
406,New York Islanders,Chicago Blackhawks,3,0,2022-12-04,1.26,1.83
407,Colorado Avalanche,Chicago Blackhawks,5,2,2022-10-12,1.54,1.83
408,Toronto Maple Leafs,New Jersey Devils,2,1,2022-11-23,-0.08,1.83
409,Boston Bruins,New Jersey Devils,4,3,2022-12-23,0.70,1.83
410,San Jose Sharks,Chicago Blackhawks,5,2,2023-01-01,0.34,1.83
411,Carolina Hurricanes,Chicago Blackhawks,3,0,2022-12-27,1.85,1.83
412,Carolina Hurricanes,New Jersey Devils,5,4,2023-01-01,-0.14,1.83
413,Vegas Golden Knights,Chicago Blackhawks,4,1,2022-12-15,1.35,1.83
414,Minnesota Wild,Chicago Blackhawks,4,1,2022-12-16,1.36,1.83
415,New York Rangers,New Jersey Devils,4,3,2022-12-12,-0.29,1.83
416,Philadelphia Flyers,New Jersey Devils,2,1,2022-12-15,-1.18,1.83
417,St. Louis Blues,Chicago Blackhawks,5,2,2022-11-16,0.62,1.83
418,Vancouver Canucks,Chicago Blackhawks,5,2,2023-01-24,0.64,1.83
419,Nashville Predators,New Jersey Devils,4,3,2022-12-01,-0.95,1.83
420,Carolina Hurricanes,Chicago Blackhawks,3,0,2022-11-14,1.85,1.83
421,Columbus Blue Jackets,Chicago Blackhawks,4,1,2022-12-31,-0.10,1.83
422,Carolina Hurricanes,Dallas Stars,3,2,2023-01-25,-0.07,1.76
423,New Jersey Devils,Dallas Stars,3,2,2023-01-27,0.07,1.76
424,Minnesota Wild,Dallas Stars,6,5,2022-12-04,-0.56,1.76
425,San Jose Sharks,Dallas Stars,5,4,2022-11-11,-1.58,1.76
426,Tampa Bay Lightning,Dallas Stars,5,4,2022-11-15,-0.08,1.76
427,Calgary Flames,Dallas Stars,6,5,2023-01-14,-0.67,1.76
428,Colorado Avalanche,Dallas Stars,3,2,2022-11-21,-0.38,1.76
429,New York Rangers,Dallas Stars,2,1,2023-01-12,-0.22,1.76
430,Carolina Hurricanes,Dallas Stars,5,4,2022-12-17,-0.07,1.76
431,Pittsburgh Penguins,Dallas Stars,2,1,2022-12-12,-0.51,1.76
432,Los Angeles Kings,Dallas Stars,3,2,2023-01-03,-0.92,1.76
433,Buffalo Sabres,Dallas Stars,3,2,2023-01-23,-0.38,1.76
434,Toronto Maple Leafs,Dallas Stars,3,2,2022-10-20,-0.01,1.76
435,Winnipeg Jets,Dallas Stars,5,4,2022-11-25,-0.28,1.76
436,Anaheim Ducks,Toronto Maple Leafs,4,3,2022-10-30,-2.29,1.74
437,New Jersey Devils,Toronto Maple Leafs,3,2,2022-11-17,0.08,1.74
438,New York Islanders,Toronto Maple Leafs,3,2,2022-11-21,-0.65,1.74
439,Boston Bruins,Toronto Maple Leafs,4,3,2023-01-14,0.79,1.74
440,Montréal Canadiens,Toronto Maple Leafs,3,2,2023-01-21,-1.80,1.74
441,St. Louis Blues,Toronto Maple Leafs,6,5,2023-01-03,-1.29,1.74
442,Tampa Bay Lightning,Toronto Maple Leafs,4,3,2022-12-03,-0.06,1.74
443,Vegas Golden Knights,Toronto Maple Leafs,4,3,2022-11-08,-0.56,1.74
444,Montréal Canadiens,Toronto Maple Leafs,4,3,2022-10-12,-1.80,1.74
445,San Jose Sharks,Toronto Maple Leafs,4,3,2022-10-27,-1.57,1.74
446,Colorado Avalanche,Columbus Blue Jackets,6,3,2022-11-04,1.64,1.73
447,Tampa Bay Lightning,Columbus Blue Jackets,6,3,2023-01-10,1.95,1.73
448,Tampa Bay Lightning,Columbus Blue Jackets,4,1,2022-12-15,1.95,1.73
449,Pittsburgh Penguins,Columbus Blue Jackets,4,1,2022-12-06,1.51,1.73
450,Carolina Hurricanes,Columbus Blue Jackets,4,1,2022-10-12,1.95,1.73
451,Chicago Blackhawks,Columbus Blue Jackets,5,2,2022-12-23,0.10,1.73
452,St. Louis Blues,Columbus Blue Jackets,5,2,2022-10-15,0.72,1.73
453,Pittsburgh Penguins,Columbus Blue Jackets,6,3,2022-10-22,1.51,1.73
454,Tampa Bay Lightning,Columbus Blue Jackets,5,2,2022-10-14,1.95,1.73
455,Arizona Coyotes,Columbus Blue Jackets,6,3,2022-10-25,0.38,1.73
456,Vancouver Canucks,Columbus Blue Jackets,5,2,2023-01-27,0.74,1.73
457,Vancouver Canucks,Carolina Hurricanes,4,3,2023-01-15,-1.22,1.69
458,Minnesota Wild,Carolina Hurricanes,2,1,2022-11-19,-0.49,1.69
459,Anaheim Ducks,Carolina Hurricanes,4,3,2022-12-06,-2.23,1.69
460,Winnipeg Jets,Carolina Hurricanes,4,3,2022-11-21,-0.21,1.69
461,Boston Bruins,Carolina Hurricanes,3,2,2022-11-25,0.84,1.69
462,Columbus Blue Jackets,Carolina Hurricanes,4,3,2023-01-07,-1.95,1.69
463,Calgary Flames,Carolina Hurricanes,3,2,2022-10-22,-0.60,1.69
464,Colorado Avalanche,Carolina Hurricanes,3,2,2022-11-17,-0.31,1.69
465,Edmonton Oilers,Tampa Bay Lightning,3,2,2022-11-08,-0.24,1.68
466,Philadelphia Flyers,Tampa Bay Lightning,3,2,2022-10-18,-1.04,1.68
467,Carolina Hurricanes,Tampa Bay Lightning,4,3,2022-11-03,0.01,1.68
468,New York Islanders,Detroit Red Wings,2,0,2023-01-27,0.45,1.65
469,Toronto Maple Leafs,Detroit Red Wings,4,2,2022-11-28,1.09,1.65
470,Winnipeg Jets,Philadelphia Flyers,5,3,2023-01-22,0.83,1.64
471,Tampa Bay Lightning,New York Rangers,2,1,2022-12-29,0.14,1.54
472,Pittsburgh Penguins,New York Rangers,3,2,2022-12-20,-0.29,1.54
473,New York Islanders,New York Rangers,4,3,2022-11-08,-0.44,1.54
474,Seattle Kraken,New York Rangers,3,2,2022-11-17,-0.02,1.54
475,Ottawa Senators,New York Rangers,3,2,2022-12-02,-0.68,1.54
476,Detroit Red Wings,New York Rangers,3,2,2022-11-06,-0.89,1.54
477,Edmonton Oilers,New York Rangers,4,3,2022-11-26,-0.10,1.54
478,Anaheim Ducks,New York Rangers,3,2,2022-11-23,-2.08,1.54
479,San Jose Sharks,New York Rangers,3,2,2022-10-20,-1.36,1.54
480,Montréal Canadiens,New York Rangers,2,1,2023-01-15,-1.60,1.54
481,New Jersey Devils,New York Rangers,4,3,2023-01-07,0.29,1.54
482,Toronto Maple Leafs,New York Rangers,3,2,2023-01-25,0.21,1.54
483,Nashville Predators,New York Rangers,2,1,2022-11-12,-0.66,1.54
484,Colorado Avalanche,New York Rangers,3,2,2022-10-25,-0.16,1.54
485,Calgary Flames,Seattle Kraken,3,2,2022-12-28,-0.43,1.51
486,St. Louis Blues,Seattle Kraken,4,3,2022-10-19,-1.06,1.51
487,Chicago Blackhawks,Seattle Kraken,5,4,2022-10-23,-1.68,1.51
488,Vancouver Canucks,Seattle Kraken,5,4,2022-10-27,-1.05,1.51
489,Colorado Avalanche,Seattle Kraken,2,1,2023-01-21,-0.14,1.51
490,Vancouver Canucks,Seattle Kraken,6,5,2022-12-22,-1.05,1.51
491,Winnipeg Jets,Seattle Kraken,3,2,2022-11-13,-0.04,1.51
492,Anaheim Ducks,Seattle Kraken,5,4,2022-10-12,-2.06,1.51
493,Minnesota Wild,Seattle Kraken,1,0,2022-11-11,-0.32,1.51
494,Carolina Hurricanes,Seattle Kraken,3,2,2022-12-15,0.17,1.51
495,Vegas Golden Knights,Winnipeg Jets,6,5,2022-12-13,-0.29,1.47
496,Boston Bruins,Winnipeg Jets,3,2,2022-12-22,1.06,1.47
497,Seattle Kraken,Winnipeg Jets,3,2,2022-12-18,0.04,1.47
498,Edmonton Oilers,Vancouver Canucks,4,2,2023-01-21,0.97,1.47
499,Vegas Golden Knights,Winnipeg Jets,2,1,2022-10-30,-0.29,1.47
500,Winnipeg Jets,Vancouver Canucks,4,2,2022-12-29,1.00,1.47
501,Buffalo Sabres,Winnipeg Jets,3,2,2023-01-26,-0.10,1.47
502,Edmonton Oilers,Vancouver Canucks,5,3,2022-10-12,0.97,1.47
503,Nashville Predators,Winnipeg Jets,2,1,2023-01-24,-0.60,1.47
504,Washington Capitals,Vancouver Canucks,6,4,2022-10-17,0.82,1.47
505,Calgary Flames,Winnipeg Jets,3,2,2022-11-12,-0.39,1.47
506,Philadelphia Flyers,Anaheim Ducks,4,1,2023-01-02,1.19,1.46
507,New York Rangers,St. Louis Blues,6,4,2022-12-05,1.08,1.46
508,Minnesota Wild,Anaheim Ducks,4,1,2022-11-09,1.74,1.46
509,Carolina Hurricanes,St. Louis Blues,6,4,2022-12-01,1.23,1.46
510,Boston Bruins,St. Louis Blues,3,1,2022-11-07,2.07,1.46
511,Winnipeg Jets,Anaheim Ducks,5,2,2022-12-04,2.02,1.46
512,Tampa Bay Lightning,St. Louis Blues,4,2,2023-01-14,1.22,1.46
513,Minnesota Wild,Anaheim Ducks,4,1,2022-12-21,1.74,1.46
514,Edmonton Oilers,St. Louis Blues,3,1,2022-10-26,0.98,1.46
515,Colorado Avalanche,St. Louis Blues,4,2,2023-01-28,0.92,1.46
516,Los Angeles Kings,Anaheim Ducks,4,1,2022-12-20,1.38,1.46
517,Philadelphia Flyers,Anaheim Ducks,5,2,2023-01-17,1.19,1.46
518,Buffalo Sabres,St. Louis Blues,5,3,2023-01-24,0.92,1.46
519,Winnipeg Jets,St. Louis Blues,4,2,2023-01-30,1.02,1.46
520,Chicago Blackhawks,St. Louis Blues,5,3,2023-01-21,-0.62,1.46
521,Ottawa Senators,Anaheim Ducks,3,0,2022-12-12,1.40,1.46
522,Buffalo Sabres,Anaheim Ducks,6,3,2023-01-21,1.92,1.46
523,Vancouver Canucks,Anaheim Ducks,8,5,2022-11-03,1.01,1.46
524,Winnipeg Jets,Edmonton Oilers,2,1,2022-12-31,0.04,1.44
525,Calgary Flames,Edmonton Oilers,4,3,2022-10-15,-0.35,1.44
526,St. Louis Blues,Edmonton Oilers,4,3,2022-12-15,-0.98,1.44
527,Washington Capitals,Edmonton Oilers,3,2,2022-12-05,-0.15,1.44
528,Washington Capitals,Edmonton Oilers,5,4,2022-11-07,-0.15,1.44
529,Anaheim Ducks,Edmonton Oilers,4,3,2022-12-17,-1.98,1.44
530,Columbus Blue Jackets,Edmonton Oilers,3,2,2023-01-25,-1.70,1.44
531,Colorado Avalanche,Edmonton Oilers,3,2,2023-01-07,-0.06,1.44
532,New Jersey Devils,Edmonton Oilers,4,3,2022-11-03,0.39,1.44
533,Nashville Predators,Edmonton Oilers,4,3,2022-12-19,-0.56,1.44
534,Minnesota Wild,Edmonton Oilers,2,1,2022-12-12,-0.24,1.44
535,New Jersey Devils,Colorado Avalanche,1,0,2022-10-28,0.45,1.37
536,Tampa Bay Lightning,Buffalo Sabres,6,5,2022-11-28,0.30,1.37
537,Chicago Blackhawks,Colorado Avalanche,3,2,2023-01-12,-1.54,1.37
538,Vegas Golden Knights,Colorado Avalanche,3,2,2023-01-02,-0.19,1.37
539,Minnesota Wild,Buffalo Sabres,3,2,2023-01-28,-0.18,1.37
540,Seattle Kraken,Colorado Avalanche,3,2,2022-10-21,0.14,1.37
541,Florida Panthers,Buffalo Sabres,4,3,2022-10-15,-0.37,1.37
542,Vancouver Canucks,Colorado Avalanche,4,3,2022-11-23,-0.90,1.37
543,New York Islanders,Colorado Avalanche,5,4,2022-10-29,-0.28,1.37
544,Montréal Canadiens,Buffalo Sabres,3,2,2022-10-27,-1.43,1.37
545,Vancouver Canucks,Buffalo Sabres,5,4,2022-11-15,-0.91,1.37
546,Pittsburgh Penguins,Buffalo Sabres,4,3,2022-12-09,-0.13,1.37
547,New York Rangers,Colorado Avalanche,2,1,2022-12-09,0.16,1.37
548,Winnipeg Jets,Colorado Avalanche,4,3,2022-10-19,0.10,1.37
549,Seattle Kraken,Buffalo Sabres,4,3,2023-01-10,0.14,1.37
550,Los Angeles Kings,Colorado Avalanche,5,4,2022-12-29,-0.53,1.37
551,Chicago Blackhawks,Buffalo Sabres,4,3,2023-01-17,-1.54,1.37
552,Florida Panthers,Colorado Avalanche,5,4,2023-01-10,-0.36,1.37
553,St. Louis Blues,Colorado Avalanche,3,2,2022-11-14,-0.92,1.37
554,Colorado Avalanche,Washington Capitals,3,2,2023-01-24,0.08,1.29
555,St. Louis Blues,Washington Capitals,5,4,2022-11-17,-0.83,1.29
556,Toronto Maple Leafs,Washington Capitals,3,2,2022-10-13,0.45,1.29
557,Dallas Stars,Washington Capitals,2,1,2022-12-15,0.47,1.29
558,Ottawa Senators,Washington Capitals,4,3,2022-12-29,-0.44,1.29
559,Arizona Coyotes,Washington Capitals,3,2,2022-11-05,-1.18,1.29
560,Nashville Predators,Washington Capitals,3,2,2023-01-06,-0.42,1.29
561,Vegas Golden Knights,Washington Capitals,3,2,2022-11-01,-0.11,1.29
562,Buffalo Sabres,Washington Capitals,5,4,2023-01-03,0.09,1.29
563,Seattle Kraken,Washington Capitals,3,2,2022-12-01,0.23,1.29
564,Carolina Hurricanes,Washington Capitals,3,2,2022-10-31,0.40,1.29
565,Carolina Hurricanes,Pittsburgh Penguins,4,3,2022-12-22,0.44,1.24
566,Boston Bruins,Pittsburgh Penguins,2,1,2023-01-02,1.29,1.24
567,Montréal Canadiens,Pittsburgh Penguins,5,4,2022-11-12,-1.30,1.24
568,Carolina Hurricanes,Pittsburgh Penguins,3,2,2022-12-18,0.44,1.24
569,Carolina Hurricanes,Pittsburgh Penguins,3,2,2022-11-29,0.44,1.24
570,Detroit Red Wings,Pittsburgh Penguins,5,4,2022-12-28,-0.59,1.24
571,Boston Bruins,Pittsburgh Penguins,6,5,2022-11-01,1.29,1.24
572,New Jersey Devils,Pittsburgh Penguins,2,1,2023-01-22,0.58,1.24
573,Carolina Hurricanes,Pittsburgh Penguins,2,1,2023-01-14,0.44,1.24
574,Seattle Kraken,Pittsburgh Penguins,3,2,2022-11-05,0.27,1.24
575,Montréal Canadiens,Pittsburgh Penguins,3,2,2022-10-17,-1.30,1.24
576,Washington Capitals,Pittsburgh Penguins,3,2,2023-01-26,0.05,1.24
577,Ottawa Senators,Pittsburgh Penguins,5,4,2023-01-18,-0.39,1.24
578,New York Rangers,Minnesota Wild,4,3,2023-01-10,0.34,1.19
579,Detroit Red Wings,Minnesota Wild,2,1,2022-10-29,-0.55,1.19
580,Buffalo Sabres,Minnesota Wild,6,5,2023-01-07,0.18,1.19
581,Los Angeles Kings,Minnesota Wild,1,0,2022-11-08,-0.35,1.19
582,Los Angeles Kings,Minnesota Wild,7,6,2022-10-15,-0.35,1.19
583,San Jose Sharks,Minnesota Wild,3,2,2022-11-13,-1.02,1.19
584,Toronto Maple Leafs,Minnesota Wild,4,3,2022-11-25,0.55,1.19
585,Nashville Predators,Minnesota Wild,2,1,2022-11-15,-0.32,1.19
586,Boston Bruins,Minnesota Wild,4,3,2022-10-22,1.34,1.19
587,Vegas Golden Knights,San Jose Sharks,4,2,2022-10-25,1.00,1.18
588,Buffalo Sabres,Vegas Golden Knights,3,2,2022-12-19,0.20,1.18
589,Edmonton Oilers,Vegas Golden Knights,4,3,2023-01-14,0.26,1.18
590,St. Louis Blues,San Jose Sharks,5,3,2022-11-10,0.28,1.18
591,New York Islanders,Vegas Golden Knights,2,1,2023-01-28,-0.09,1.18
592,New Jersey Devils,Vegas Golden Knights,3,2,2023-01-24,0.65,1.18
593,Columbus Blue Jackets,San Jose Sharks,5,3,2023-01-21,-0.44,1.18
594,Boston Bruins,San Jose Sharks,4,2,2023-01-07,2.35,1.18
595,Colorado Avalanche,Vegas Golden Knights,3,2,2022-10-22,0.19,1.18
596,Detroit Red Wings,Vegas Golden Knights,3,2,2023-01-19,-0.53,1.18
597,Edmonton Oilers,Vegas Golden Knights,4,3,2022-11-19,0.26,1.18
598,Toronto Maple Leafs,San Jose Sharks,3,1,2022-11-30,1.57,1.18
599,St. Louis Blues,Vegas Golden Knights,3,2,2022-11-12,-0.72,1.18
600,Pittsburgh Penguins,Vegas Golden Knights,4,3,2022-12-01,0.06,1.18
601,Anaheim Ducks,Vegas Golden Knights,3,2,2022-12-28,-1.72,1.18
602,Calgary Flames,Vegas Golden Knights,3,2,2022-10-18,-0.09,1.18
603,Chicago Blackhawks,Arizona Coyotes,2,0,2023-01-06,-0.28,1.11
604,San Jose Sharks,Arizona Coyotes,4,2,2023-01-10,0.06,1.11
605,Tampa Bay Lightning,Arizona Coyotes,5,3,2022-12-31,1.57,1.11
606,Los Angeles Kings,Arizona Coyotes,5,3,2022-12-01,0.73,1.11
607,Florida Panthers,Arizona Coyotes,5,3,2023-01-03,0.90,1.11
608,Ottawa Senators,Arizona Coyotes,5,3,2023-01-12,0.74,1.11
609,New Jersey Devils,Arizona Coyotes,4,2,2022-11-12,1.71,1.11
610,Toronto Maple Leafs,Calgary Flames,5,4,2022-12-10,0.66,1.09
611,Carolina Hurricanes,Calgary Flames,3,2,2022-11-26,0.60,1.09
612,Washington Capitals,New York Islanders,4,3,2023-01-16,0.19,1.09
613,Boston Bruins,New York Islanders,4,3,2022-12-13,1.43,1.09
614,Winnipeg Jets,Calgary Flames,3,2,2023-01-03,0.39,1.09
615,Seattle Kraken,Calgary Flames,5,4,2022-11-01,0.43,1.09
616,Vancouver Canucks,Calgary Flames,4,3,2022-12-14,-0.62,1.09
617,New Jersey Devils,Calgary Flames,4,3,2022-11-05,0.74,1.09
618,Colorado Avalanche,New York Islanders,1,0,2022-12-19,0.28,1.09
619,Nashville Predators,Calgary Flames,2,1,2023-01-16,-0.21,1.09
620,Florida Panthers,New York Islanders,3,2,2022-10-23,-0.09,1.09
621,Edmonton Oilers,Calgary Flames,3,2,2022-10-29,0.35,1.09
622,New Jersey Devils,Calgary Flames,3,2,2022-11-08,0.74,1.09
623,Ottawa Senators,New York Islanders,2,1,2023-01-25,-0.24,1.09
624,Pittsburgh Penguins,Calgary Flames,2,1,2022-11-23,0.16,1.09
625,Montréal Canadiens,Calgary Flames,2,1,2022-12-01,-1.15,1.09
626,Montréal Canadiens,Calgary Flames,2,1,2022-12-12,-1.15,1.09
627,Chicago Blackhawks,Calgary Flames,4,3,2023-01-08,-1.25,1.09
628,St. Louis Blues,Calgary Flames,4,3,2023-01-10,-0.63,1.09
629,Los Angeles Kings,Calgary Flames,4,3,2022-12-22,-0.25,1.09
630,Buffalo Sabres,New York Islanders,3,2,2023-01-19,0.28,1.09
631,New York Islanders,Calgary Flames,4,3,2022-11-07,0.01,1.09
632,Dallas Stars,New York Islanders,2,1,2023-01-10,0.66,1.09
633,Edmonton Oilers,Calgary Flames,2,1,2022-12-27,0.35,1.09
634,Arizona Coyotes,New York Islanders,5,4,2022-12-16,-0.98,1.09
635,Nashville Predators,New York Islanders,5,4,2022-11-17,-0.22,1.09
636,Pittsburgh Penguins,Florida Panthers,7,6,2023-01-24,0.23,1.01
637,Toronto Maple Leafs,Florida Panthers,5,4,2023-01-17,0.73,1.01
638,Los Angeles Kings,Florida Panthers,4,3,2023-01-27,-0.17,1.01
639,Calgary Flames,Florida Panthers,5,4,2022-11-19,0.08,1.01
640,Edmonton Oilers,Florida Panthers,4,3,2022-11-28,0.43,1.01
641,Philadelphia Flyers,Florida Panthers,4,3,2022-10-27,-0.37,1.01
642,Tampa Bay Lightning,Florida Panthers,3,2,2022-10-21,0.67,1.01
643,Los Angeles Kings,Florida Panthers,5,4,2022-11-05,-0.17,1.01
644,St. Louis Blues,Florida Panthers,5,4,2022-11-26,-0.55,1.01
645,Edmonton Oilers,Montréal Canadiens,5,3,2022-12-03,1.50,0.94
646,Boston Bruins,Montréal Canadiens,4,2,2023-01-24,2.59,0.94
647,Vegas Golden Knights,Montréal Canadiens,6,4,2022-11-05,1.24,0.94
648,Minnesota Wild,Montréal Canadiens,3,1,2022-10-25,1.25,0.94
649,Los Angeles Kings,Montréal Canadiens,4,2,2022-12-10,0.90,0.94
650,Washington Capitals,Montréal Canadiens,3,1,2022-10-15,1.35,0.94
651,Dallas Stars,Montréal Canadiens,4,2,2022-12-23,1.82,0.94
652,Columbus Blue Jackets,Montréal Canadiens,6,4,2022-11-17,-0.21,0.94
653,Ottawa Senators,Nashville Predators,3,2,2022-12-10,-0.02,0.87
654,Toronto Maple Leafs,Nashville Predators,2,1,2023-01-11,0.87,0.87
655,Colorado Avalanche,Nashville Predators,3,2,2022-12-23,0.50,0.87
656,Winnipeg Jets,Nashville Predators,2,1,2022-12-15,0.60,0.87
657,Tampa Bay Lightning,Nashville Predators,3,2,2022-11-19,0.81,0.87
658,Montréal Canadiens,Nashville Predators,4,3,2023-01-12,-0.93,0.87
659,Los Angeles Kings,Nashville Predators,4,3,2022-10-18,-0.03,0.87
660,Dallas Stars,Nashville Predators,3,2,2022-12-27,0.88,0.87
661,St. Louis Blues,Nashville Predators,1,0,2022-12-12,-0.42,0.87
662,Vegas Golden Knights,Nashville Predators,5,4,2022-12-31,0.31,0.87
663,New Jersey Devils,Ottawa Senators,4,3,2022-11-10,0.97,0.85
664,St. Louis Blues,Ottawa Senators,2,1,2023-01-16,-0.40,0.85
665,Washington Capitals,Ottawa Senators,3,2,2022-12-22,0.44,0.85
666,Toronto Maple Leafs,Ottawa Senators,3,2,2022-10-15,0.89,0.85
667,Tampa Bay Lightning,Ottawa Senators,4,3,2022-11-01,0.82,0.85
668,Dallas Stars,Ottawa Senators,4,3,2022-12-08,0.90,0.85
669,Philadelphia Flyers,Ottawa Senators,2,1,2022-11-05,-0.21,0.85
670,Vegas Golden Knights,Ottawa Senators,5,4,2022-11-03,0.33,0.85
671,Columbus Blue Jackets,Los Angeles Kings,6,5,2022-12-11,-1.11,0.84
672,Carolina Hurricanes,Los Angeles Kings,5,4,2023-01-31,0.85,0.84
673,Chicago Blackhawks,Los Angeles Kings,2,1,2022-11-03,-1.01,0.84
674,Ottawa Senators,Los Angeles Kings,3,2,2022-11-27,0.01,0.84
675,Washington Capitals,Los Angeles Kings,4,3,2022-10-22,0.45,0.84
676,Seattle Kraken,Los Angeles Kings,3,2,2022-11-19,0.67,0.84
677,Arizona Coyotes,Los Angeles Kings,2,1,2022-12-23,-0.73,0.84
678,Seattle Kraken,Los Angeles Kings,9,8,2022-11-29,0.67,0.84
679,Vegas Golden Knights,Los Angeles Kings,4,3,2022-10-11,0.34,0.84
680,Calgary Flames,Los Angeles Kings,6,5,2022-11-14,0.25,0.84
681,St. Louis Blues,Chicago Blackhawks,3,1,2022-12-29,0.62,0.83
682,New York Islanders,Chicago Blackhawks,3,1,2022-11-01,1.26,0.83
683,Winnipeg Jets,Chicago Blackhawks,3,1,2022-12-09,1.64,0.83
684,Pittsburgh Penguins,Chicago Blackhawks,5,3,2022-11-20,1.41,0.83
685,Nashville Predators,Chicago Blackhawks,4,2,2022-12-21,1.04,0.83
686,Dallas Stars,Chicago Blackhawks,6,4,2022-11-23,1.92,0.83
687,Montréal Canadiens,Columbus Blue Jackets,3,1,2022-11-23,0.21,0.73
688,Seattle Kraken,Columbus Blue Jackets,3,1,2023-01-28,1.78,0.73
